#,Customer Name,Branch,Zone,September,October,November
158,,Dayniile,Gubta 1,20,15,13
319,,Dayniile,Gubta 1,11,12,15
740,,Dayniile,Gubta 1,2,2,1
741,,Dayniile,Gubta 1,6,5,6
742,,Dayniile,Gubta 1,3,3,3
743,,Dayniile,Gubta 1,2,3,3
744,,Dayniile,Gubta 1,7,7,8
745,,Dayniile,Gubta 1,19,15,16
746,,Dayniile,Gubta 1,6,7,7
747,,Dayniile,Gubta 1,5,5,4
748,,Dayniile,Gubta 1,7,8,7
749,,Dayniile,Gubta 1,11,11,11
750,,Dayniile,Gubta 1,16,15,13
751,,Dayniile,Gubta 1,3,0,0
752,,Dayniile,Gubta 1,14,13,13
753,,Dayniile,Gubta 1,9,9,9
754,,Dayniile,Gubta 1,9,5,10
755,,Dayniile,Gubta 1,12,10,11
756,,Dayniile,Gubta 1,5,5,5
757,,Dayniile,Gubta 1,3,2,4
758,,Dayniile,Gubta 1,3,4,3
759,,Dayniile,Gubta 1,4,4,4
760,,Dayniile,Gubta 1,3,3,5
761,,Dayniile,Gubta 1,2,6,2
762,,Dayniile,Gubta 1,0,0,0
763,,Dayniile,Gubta 1,8,9,10
764,,Dayniile,Gubta 1,8,8,7
765,,Dayniile,Gubta 1,9,11,4
766,,Dayniile,Gubta 1,12,10,11
767,,Dayniile,Gubta 1,18,4,0
768,,Dayniile,Gubta 1,6,5,6
769,,Dayniile,Gubta 1,2,1,2
770,,Dayniile,Gubta 1,15,13,7
771,,Dayniile,Gubta 1,8,4,2
772,,Dayniile,Gubta 1,6,6,6
773,,Dayniile,Gubta 1,3,3,3
774,,Dayniile,Gubta 1,2,2,2
775,,Dayniile,Gubta 1,18,16,23
776,,Dayniile,Gubta 1,7,6,7
777,,Dayniile,Gubta 1,2,2,3
778,,Dayniile,Gubta 1,2,2,2
779,,Dayniile,Gubta 1,4,3,4
780,,Dayniile,Gubta 1,5,6,5
781,,Dayniile,Gubta 1,4,6,6
782,,Dayniile,Gubta 1,8,7,8
783,,Dayniile,Gubta 1,5,6,5
784,,Dayniile,Gubta 1,18,14,16
785,,Dayniile,Gubta 1,3,2,5
786,,Dayniile,Gubta 1,7,5,7
787,,Dayniile,Gubta 1,20,17,19
788,,Dayniile,Gubta 1,18,17,18
789,,Dayniile,Gubta 1,2,3,3
790,,Dayniile,Gubta 1,3,3,2
791,,Dayniile,Gubta 1,4,2,5
792,,Dayniile,Gubta 1,8,6,6
793,,Dayniile,Gubta 1,12,16,24
794,,Dayniile,Gubta 1,5,5,7
795,,Dayniile,Gubta 1,6,4,6
796,,Dayniile,Gubta 1,1,1,2
797,,Dayniile,Gubta 1,4,3,4
798,,Dayniile,Gubta 1,3,3,3
799,,Dayniile,Gubta 1,3,3,4
800,,Dayniile,Gubta 1,4,5,3
801,,Dayniile,Gubta 1,7,7,8
802,,Dayniile,Gubta 1,3,3,4
803,,Dayniile,Gubta 1,4,7,0
804,,Dayniile,Gubta 1,14,10,13
805,,Dayniile,Gubta 1,13,10,16
806,,Dayniile,Gubta 1,6,5,3
807,,Dayniile,Gubta 1,3,4,6
808,,Dayniile,Gubta 1,5,5,6
809,,Dayniile,Gubta 1,5,9,10
810,,Dayniile,Gubta 1,5,5,5
811,,Dayniile,Gubta 1,26,26,29
812,,Dayniile,Gubta 1,8,9,12
813,,Dayniile,Gubta 1,10,9,12
814,,Dayniile,Gubta 1,2,1,4
815,,Dayniile,Gubta 1,4,2,4
816,,Dayniile,Gubta 1,7,4,6
817,,Dayniile,Gubta 1,4,3,3
818,,Dayniile,Gubta 1,1,2,1
819,,Dayniile,Gubta 1,16,16,12
820,,Dayniile,Gubta 1,15,13,12
821,,Dayniile,Gubta 1,6,5,4
822,,Dayniile,Gubta 1,10,10,13
823,,Dayniile,Gubta 1,7,5,8
824,,Dayniile,Gubta 1,13,13,12
825,,Dayniile,Gubta 1,3,4,4
826,,Dayniile,Gubta 1,4,2,2
827,,Dayniile,Gubta 1,7,7,10
828,,Dayniile,Gubta 1,10,8,7
829,,Dayniile,Gubta 1,4,4,5
830,,Dayniile,Gubta 1,8,5,9
831,,Dayniile,Gubta 1,5,9,6
832,,Dayniile,Gubta 1,3,3,4
833,,Dayniile,Gubta 1,5,5,5
834,,Dayniile,Gubta 1,3,0,2
835,,Dayniile,Gubta 1,8,9,8
836,,Dayniile,Gubta 1,1,1,1
837,,Dayniile,Gubta 1,9,5,7
838,,Dayniile,Gubta 1,1,2,1
839,,Dayniile,Gubta 1,5,6,4
840,,Dayniile,Gubta 1,11,7,8
841,,Dayniile,Gubta 1,2,3,2
842,,Dayniile,Gubta 1,29,28,31
843,,Dayniile,Gubta 1,9,8,9
844,,Dayniile,Gubta 1,4,4,3
845,,Dayniile,Gubta 1,2,2,3
846,,Dayniile,Gubta 1,2,2,4
847,,Dayniile,Gubta 1,2,4,2
848,,Dayniile,Gubta 1,1,3,2
849,,Dayniile,Gubta 1,5,4,5
850,,Dayniile,Gubta 1,10,10,11
851,,Dayniile,Gubta 1,5,6,5
852,,Dayniile,Gubta 1,8,7,9
853,,Dayniile,Gubta 1,5,6,7
854,,Dayniile,Gubta 1,3,4,3
855,,Dayniile,Gubta 1,20,21,23
856,,Dayniile,Gubta 1,9,9,10
857,,Dayniile,Gubta 1,7,8,5
858,,Dayniile,Gubta 1,12,9,2
859,,Dayniile,Gubta 1,6,5,6
860,,Dayniile,Gubta 1,4,4,7
861,,Dayniile,Gubta 1,13,3,4
862,,Dayniile,Gubta 1,1,2,2
863,,Dayniile,Gubta 1,8,9,9
864,,Dayniile,Gubta 1,1,2,1
865,,Dayniile,Gubta 1,1,4,6
866,,Dayniile,Gubta 1,3,5,4
867,,Dayniile,Gubta 1,2,1,2
868,,Dayniile,Gubta 1,6,7,9
869,,Dayniile,Gubta 1,4,3,4
870,,Dayniile,Gubta 1,4,2,1
871,,Dayniile,Gubta 1,2,3,4
872,,Dayniile,Gubta 1,5,4,4
873,,Dayniile,Gubta 1,1,4,5
874,,Dayniile,Gubta 1,9,8,7
875,,Dayniile,Gubta 1,3,5,3
876,,Dayniile,Gubta 1,4,4,2
877,,Dayniile,Gubta 1,26,22,32
878,,Dayniile,Gubta 1,8,8,7
879,,Dayniile,Gubta 1,5,4,5
880,,Dayniile,Gubta 1,23,22,25
881,,Dayniile,Gubta 1,7,6,6
882,,Dayniile,Gubta 1,2,1,3
883,,Dayniile,Gubta 1,5,6,4
884,,Dayniile,Gubta 1,3,2,3
885,,Dayniile,Gubta 1,1,5,5
886,,Dayniile,Gubta 1,7,12,1
887,,Dayniile,Gubta 1,6,7,5
888,,Dayniile,Gubta 1,4,7,7
889,,Dayniile,Gubta 1,8,7,6
890,,Dayniile,Gubta 1,5,5,5
891,,Dayniile,Gubta 1,13,12,14
892,,Dayniile,Gubta 1,4,5,5
893,,Dayniile,Gubta 1,5,3,5
894,,Dayniile,Gubta 1,8,7,10
